Platform,CPU,buffer_pool,disk_bandwidth_quanta,TPMC
Gpu1,0.5,16,1,24.066
Gpu1,0.5,16,2,56.366
Gpu1,0.5,16,4,138.099
Gpu1,0.5,16,8,255.534
Gpu1,0.5,16,16,309.2
Gpu1,0.5,16,32,334.201
Gpu1,0.5,16,48,339.834
Gpu1,0.5,32,1,30.334
Gpu1,0.5,32,2,73.166
Gpu1,0.5,32,4,175.867
Gpu1,0.5,32,8,312.634
Gpu1,0.5,32,16,350.433
Gpu1,0.5,32,32,373.434
Gpu1,0.5,32,48,377.499
Gpu1,0.5,64,1,43.932
Gpu1,0.5,64,2,93.733
Gpu1,0.5,64,4,232.1488889
Gpu1,0.5,64,8,399.5177778
Gpu1,0.5,64,16,448.1111111
Gpu1,0.5,64,32,470.4455556
Gpu1,0.5,64,48,476.8144444
Gpu1,0.5,128,1,59.81444444
Gpu1,0.5,128,2,128.2966667
Gpu1,0.5,128,4,344.9255556
Gpu1,0.5,128,8,573.4811111
Gpu1,0.5,128,16,644.9622222
Gpu1,0.5,128,32,658.89
Gpu1,0.5,128,48,673.1844444
Gpu1,0.5,256,1,82.77777778
Gpu1,0.5,256,2,176.0744444
Gpu1,0.5,256,4,456.74
Gpu1,0.5,256,8,738.4444444
Gpu1,0.5,256,16,836.8144444
Gpu1,0.5,256,32,869.4088889
Gpu1,0.5,256,48,877.1866667
Gpu1,0.5,512,1,70.22111111
Gpu1,0.5,512,2,308.6666667
Gpu1,0.5,512,4,580.2222222
Gpu1,0.5,512,8,892.2588889
Gpu1,0.5,512,16,961.9255556
Gpu1,0.5,512,32,992.9255556
Gpu1,0.5,512,48,1012.111111
Gpu1,0.5,1024,1,111.3333333
Gpu1,0.5,1024,2,322.7411111
Gpu1,0.5,1024,4,818.62625
Gpu1,0.5,1024,8,951.375
Gpu1,0.5,1024,16,1006.16625
Gpu1,0.5,1024,32,1019.70875
Gpu1,0.5,1024,48,1016.6675
Gpu1,1,1,1,17.866
Gpu1,1,1,2,40.8
Gpu1,1,1,4,107.4
Gpu1,1,1,8,234.299
Gpu1,1,1,16,417.767
Gpu1,1,1,32,648.533
Gpu1,1,1,48,713.3
Gpu1,1,2,1,20.1
Gpu1,1,2,2,48.266
Gpu1,1,2,4,110.501
Gpu1,1,2,8,233.6
Gpu1,1,2,16,419.866
Gpu1,1,2,32,634.535
Gpu1,1,2,48,730.734
Gpu1,1,4,1,19.934
Gpu1,1,4,2,45.835
Gpu1,1,4,4,113.933
Gpu1,1,4,8,233.634
Gpu1,1,4,16,412.433
Gpu1,1,4,32,646.265
Gpu1,1,4,48,716.401
Gpu1,1,8,1,22.466
Gpu1,1,8,2,53.001
Gpu1,1,8,4,125.132
Gpu1,1,8,8,274.068
Gpu1,1,8,16,466.499
Gpu1,1,8,32,696.233
Gpu1,1,8,48,734.5
Gpu1,1,16,1,24.968
Gpu1,1,16,2,58.266
Gpu1,1,16,4,140.5
Gpu1,1,16,8,288.866
Gpu1,1,16,16,500.433
Gpu1,1,16,32,727.067
Gpu1,1,16,48,764.567
Gpu1,1,32,1,30.2
Gpu1,1,32,2,74.367
Gpu1,1,32,4,201.167
Gpu1,1,32,8,409.6
Gpu1,1,32,16,645.334
Gpu1,1,32,32,868.499
Gpu1,1,32,48,886
Gpu1,1,64,1,43.666
Gpu1,1,64,2,95.666
Gpu1,1,64,4,265.6677778
Gpu1,1,64,8,533.2966667
Gpu1,1,64,16,892.6288889
Gpu1,1,64,32,1102.555556
Gpu1,1,64,48,1118.406667
Gpu1,1,128,1,57.11111111
Gpu1,1,128,2,135.7411111
Gpu1,1,128,4,353.5188889
Gpu1,1,128,8,752.8888889
Gpu1,1,128,16,1251.334444
Gpu1,1,128,32,1556.888889
Gpu1,1,128,48,1698.036667
Gpu1,1,256,1,57.96333333
Gpu1,1,256,2,208.0722222
Gpu1,1,256,4,493.8177778
Gpu1,1,256,8,972.2955556
Gpu1,1,256,16,1656.704444
Gpu1,1,256,32,2054.037778
Gpu1,1,256,48,2219.627778
Gpu1,1,512,1,66.48111111
Gpu1,1,512,2,310.6288889
Gpu1,1,512,4,634.26
Gpu1,1,512,8,1262.147778
Gpu1,1,512,16,1966.186667
Gpu1,1,512,32,2463.26
Gpu1,1,512,48,2592.742222
Gpu1,1,1024,1,107.5177778
Gpu1,1,1024,2,489.3344444
Gpu1,1,1024,4,1065.54
Gpu1,1,1024,8,1574.83375
Gpu1,1,1024,16,2405.00125
Gpu1,1,1024,32,2641.5
Gpu1,1,1024,48,2476.95875
