workload_id,machine_id,io_scheduler,disk_type,block_size,bg_count,inode_size,file_system,throughput
4,6,2,0,2048,16,512,ext4,15849.0
4,6,2,0,4096,2,256,ext4,15602.333333333336
4,6,2,0,4096,2,512,ext4,15717.666666666664
4,6,2,0,4096,2,1024,ext4,15934.333333333336
4,6,2,0,4096,4,256,ext4,15827.666666666664
4,6,2,0,4096,4,512,ext4,15806.0
4,6,2,0,4096,4,1024,ext4,15938.666666666664
4,6,2,0,4096,8,256,ext4,15831.666666666664
4,6,2,0,4096,8,512,ext4,15795.0
4,6,2,0,4096,8,1024,ext4,15934.666666666664
4,6,2,0,4096,12,256,ext4,15766.333333333336
4,6,2,0,4096,12,512,ext4,15920.333333333336
4,6,2,0,4096,12,1024,ext4,15965.333333333336
4,6,2,0,4096,12,2048,ext4,15687.333333333336
4,6,2,0,4096,16,256,ext4,15857.666666666664
4,6,2,0,4096,16,512,ext4,15920.666666666664
4,6,2,0,4096,16,1024,ext4,15908.666666666664
4,6,2,0,4096,32,128,ext4,15980.666666666664
4,6,2,0,4096,32,256,ext4,15644.666666666664
4,6,2,0,4096,32,512,ext4,15767.0
4,6,2,0,4096,32,1024,ext4,15918.333333333336
4,6,2,1,2048,2,256,ext4,15944.333333333336
4,6,2,1,2048,2,512,ext4,15867.0
4,6,2,1,2048,4,256,ext4,15853.666666666664
4,6,2,1,2048,4,512,ext4,15798.0
4,6,2,1,2048,8,256,ext4,15780.333333333336
4,6,2,1,2048,8,512,ext4,15732.0
4,6,2,1,2048,12,256,ext4,15920.666666666664
4,6,2,1,2048,12,512,ext4,15865.666666666664
4,6,2,1,2048,16,128,ext4,15818.333333333336
4,6,2,1,2048,16,256,ext4,15712.333333333336
4,6,2,1,2048,16,512,ext4,15782.666666666664
4,6,2,1,4096,2,256,ext4,15837.666666666664
4,6,2,1,4096,2,512,ext4,15875.333333333336
4,6,2,1,4096,2,1024,ext4,15948.666666666664
4,6,2,1,4096,4,256,ext4,15848.333333333336
4,6,2,1,4096,4,512,ext4,15727.666666666664
4,6,2,1,4096,4,1024,ext4,15918.333333333336
4,6,2,1,4096,8,256,ext4,15810.666666666664
4,6,2,1,4096,8,512,ext4,15726.0
4,6,2,1,4096,8,1024,ext4,15973.333333333336
4,6,2,1,4096,12,256,ext4,15867.333333333336
4,6,2,1,4096,12,512,ext4,15902.0
4,6,2,1,4096,12,1024,ext4,15839.0
4,6,2,1,4096,12,2048,ext4,15762.0
4,6,2,1,4096,16,256,ext4,15780.333333333336
4,6,2,1,4096,16,512,ext4,15811.333333333336
4,6,2,1,4096,16,1024,ext4,15900.0
4,6,2,1,4096,32,128,ext4,15917.666666666664
4,6,2,1,4096,32,256,ext4,15926.0
4,6,2,1,4096,32,512,ext4,15876.333333333336
4,6,2,1,4096,32,1024,ext4,15900.333333333336
4,6,2,2,2048,2,256,ext4,15789.666666666664
4,6,2,2,2048,2,512,ext4,15815.0
4,6,2,2,2048,4,256,ext4,15910.333333333336
4,6,2,2,2048,4,512,ext4,15883.333333333336
4,6,2,2,2048,8,256,ext4,15790.333333333336
4,6,2,2,2048,8,512,ext4,15720.666666666664
4,6,2,2,2048,12,256,ext4,15889.0
4,6,2,2,2048,12,512,ext4,15922.333333333336
4,6,2,2,2048,16,128,ext4,15845.0
4,6,2,2,2048,16,256,ext4,15670.666666666664
4,6,2,2,2048,16,512,ext4,15727.333333333336
4,6,2,2,4096,2,256,ext4,15827.0
4,6,2,2,4096,2,512,ext4,15820.0
4,6,2,2,4096,2,1024,ext4,15971.0
4,6,2,2,4096,4,256,ext4,15787.666666666664
4,6,2,2,4096,4,512,ext4,15779.333333333336
4,6,2,2,4096,4,1024,ext4,15901.666666666664
4,6,2,2,4096,8,256,ext4,15776.333333333336
4,6,2,2,4096,8,512,ext4,15834.0
4,6,2,2,4096,8,1024,ext4,15964.333333333336
4,6,2,2,4096,12,256,ext4,15826.0
4,6,2,2,4096,12,512,ext4,15889.0
4,6,2,2,4096,12,1024,ext4,15950.333333333336
4,6,2,2,4096,12,2048,ext4,15831.0
4,6,2,2,4096,16,256,ext4,15810.333333333336
4,6,2,2,4096,16,512,ext4,15885.666666666664
4,6,2,2,4096,16,1024,ext4,15987.666666666664
4,6,2,2,4096,32,128,ext4,16017.166666666664
4,6,2,2,4096,32,256,ext4,15785.333333333336
4,6,2,2,4096,32,512,ext4,15778.333333333336
4,6,2,2,4096,32,1024,ext4,15897.666666666664
4,6,2,3,2048,2,256,ext4,15723.666666666664
4,6,2,3,2048,2,512,ext4,15823.333333333336
4,6,2,3,2048,4,256,ext4,15818.666666666664
4,6,2,3,2048,4,512,ext4,15901.333333333336
4,6,2,3,2048,8,256,ext4,15869.0
4,6,2,3,2048,8,512,ext4,15881.333333333336
4,6,2,3,2048,12,256,ext4,15901.666666666664
4,6,2,3,2048,12,512,ext4,15901.333333333336
4,6,2,3,2048,16,128,ext4,15813.0
4,6,2,3,2048,16,256,ext4,15723.333333333336
4,6,2,3,2048,16,512,ext4,15833.0
4,6,2,3,4096,2,256,ext4,15775.666666666664
4,6,2,3,4096,2,512,ext4,15844.333333333336
4,6,2,3,4096,2,1024,ext4,15948.333333333336
4,6,2,3,4096,4,256,ext4,15943.666666666664
4,6,2,3,4096,4,512,ext4,15751.666666666664
4,6,2,3,4096,4,1024,ext4,15957.666666666664
4,6,2,3,4096,8,256,ext4,15797.0
4,6,2,3,4096,8,512,ext4,15801.333333333336
4,6,2,3,4096,8,1024,ext4,16013.333333333336
4,6,2,3,4096,12,256,ext4,15836.666666666664
4,6,2,3,4096,12,512,ext4,15843.333333333336
4,6,2,3,4096,12,1024,ext4,15930.333333333336
4,6,2,3,4096,12,2048,ext4,15746.0
4,6,2,3,4096,16,256,ext4,15780.333333333336
4,6,2,3,4096,16,512,ext4,15902.333333333336
4,6,2,3,4096,16,1024,ext4,15925.0
4,6,2,3,4096,32,128,ext4,15981.666666666664
4,6,2,3,4096,32,256,ext4,15944.0
4,6,2,3,4096,32,512,ext4,15798.0
4,6,2,3,4096,32,1024,ext4,15953.333333333336
