workload_id,machine_id,file_system,io_scheduler,disk_type,block_size,bg_count,inode_size,throughput
4,6,ext3,1,3,2048,12,512,15739.0
4,6,ext3,1,3,2048,16,128,15609.0
4,6,ext3,1,3,2048,16,256,15534.666666666664
4,6,ext3,1,3,2048,16,512,15532.666666666664
4,6,ext3,1,3,4096,2,256,15922.333333333336
4,6,ext3,1,3,4096,2,512,15968.333333333336
4,6,ext3,1,3,4096,2,1024,15857.666666666664
4,6,ext3,1,3,4096,4,256,15963.333333333336
4,6,ext3,1,3,4096,4,512,15915.666666666664
4,6,ext3,1,3,4096,4,1024,15834.333333333336
4,6,ext3,1,3,4096,8,256,15840.333333333336
4,6,ext3,1,3,4096,8,512,15534.0
4,6,ext3,1,3,4096,8,1024,15725.666666666664
4,6,ext3,1,3,4096,12,256,15748.333333333336
4,6,ext3,1,3,4096,12,512,15791.666666666664
4,6,ext3,1,3,4096,12,1024,15661.333333333336
4,6,ext3,1,3,4096,12,2048,15592.333333333336
4,6,ext3,1,3,4096,16,128,15747.666666666664
4,6,ext3,1,3,4096,16,256,15829.333333333336
4,6,ext3,1,3,4096,16,512,15568.0
4,6,ext3,1,3,4096,16,1024,15695.333333333336
4,6,ext3,1,3,4096,32,128,15723.333333333336
4,6,ext3,1,3,4096,32,256,15631.666666666664
4,6,ext3,1,3,4096,32,512,15657.333333333336
4,6,ext3,1,3,4096,32,1024,15579.666666666664
4,6,ext3,2,0,2048,2,256,14732.0
4,6,ext3,2,0,2048,2,512,14952.666666666664
4,6,ext3,2,0,2048,4,256,15781.0
4,6,ext3,2,0,2048,4,512,15774.0
4,6,ext3,2,0,2048,8,256,15644.333333333336
4,6,ext3,2,0,2048,8,512,15683.333333333336
4,6,ext3,2,0,2048,12,256,15603.0
4,6,ext3,2,0,2048,12,512,15554.666666666664
4,6,ext3,2,0,2048,16,128,15598.333333333336
4,6,ext3,2,0,2048,16,256,15679.0
4,6,ext3,2,0,2048,16,512,15645.0
4,6,ext3,2,0,4096,2,256,15250.333333333336
4,6,ext3,2,0,4096,2,512,15885.0
4,6,ext3,2,0,4096,2,1024,15505.666666666664
4,6,ext3,2,0,4096,4,256,15738.0
4,6,ext3,2,0,4096,4,512,15939.333333333336
4,6,ext3,2,0,4096,4,1024,15817.333333333336
4,6,ext3,2,0,4096,8,256,15655.0
4,6,ext3,2,0,4096,8,512,15524.0
4,6,ext3,2,0,4096,8,1024,15611.333333333336
4,6,ext3,2,0,4096,12,256,15729.0
4,6,ext3,2,0,4096,12,512,15712.333333333336
4,6,ext3,2,0,4096,12,1024,15619.666666666664
4,6,ext3,2,0,4096,12,2048,15677.0
4,6,ext3,2,0,4096,16,256,15675.0
4,6,ext3,2,0,4096,16,512,15627.333333333336
4,6,ext3,2,0,4096,16,1024,15718.333333333336
4,6,ext3,2,0,4096,32,128,15724.666666666664
4,6,ext3,2,0,4096,32,256,15824.666666666664
4,6,ext3,2,0,4096,32,512,15605.333333333336
4,6,ext3,2,0,4096,32,1024,15751.0
4,6,ext3,2,1,2048,2,256,15673.333333333336
4,6,ext3,2,1,2048,2,512,15584.0
4,6,ext3,2,1,2048,4,256,15772.0
4,6,ext3,2,1,2048,4,512,15730.666666666664
4,6,ext3,2,1,2048,8,256,15777.666666666664
4,6,ext3,2,1,2048,8,512,15675.0
4,6,ext3,2,1,2048,12,256,15612.333333333336
4,6,ext3,2,1,2048,12,512,15607.666666666664
4,6,ext3,2,1,2048,16,128,15604.333333333336
4,6,ext3,2,1,2048,16,256,15606.333333333336
4,6,ext3,2,1,2048,16,512,15605.666666666664
4,6,ext3,2,1,4096,2,256,15696.0
4,6,ext3,2,1,4096,2,512,15909.666666666664
4,6,ext3,2,1,4096,2,1024,15680.333333333336
4,6,ext3,2,1,4096,4,256,15875.666666666664
4,6,ext3,2,1,4096,4,512,16010.666666666664
4,6,ext3,2,1,4096,4,1024,15811.333333333336
4,6,ext3,2,1,4096,8,256,15653.0
4,6,ext3,2,1,4096,8,512,15601.333333333336
4,6,ext3,2,1,4096,8,1024,15582.666666666664
4,6,ext3,2,1,4096,12,256,15843.333333333336
4,6,ext3,2,1,4096,12,512,15665.333333333336
4,6,ext3,2,1,4096,12,1024,15698.666666666664
4,6,ext3,2,1,4096,12,2048,15655.333333333336
4,6,ext3,2,1,4096,16,256,15833.333333333336
4,6,ext3,2,1,4096,16,512,15646.666666666664
4,6,ext3,2,1,4096,16,1024,15626.0
4,6,ext3,2,1,4096,32,128,15759.333333333336
4,6,ext3,2,1,4096,32,256,15792.333333333336
4,6,ext3,2,1,4096,32,512,15606.333333333336
4,6,ext3,2,1,4096,32,1024,15776.666666666664
4,6,ext3,2,2,2048,2,256,15172.666666666664
4,6,ext3,2,2,2048,2,512,15136.333333333336
4,6,ext3,2,2,2048,4,256,15570.333333333336
4,6,ext3,2,2,2048,4,512,15555.0
4,6,ext3,2,2,2048,8,256,15596.0
4,6,ext3,2,2,2048,8,512,15698.0
4,6,ext3,2,2,2048,12,256,15545.666666666664
4,6,ext3,2,2,2048,12,512,15673.0
4,6,ext3,2,2,2048,16,128,15639.333333333336
4,6,ext3,2,2,2048,16,256,15529.0
4,6,ext3,2,2,2048,16,512,15688.0
4,6,ext3,2,2,4096,2,256,15315.0
4,6,ext3,2,2,4096,2,512,16014.666666666664
4,6,ext3,2,2,4096,2,1024,15185.0
4,6,ext3,2,2,4096,4,256,15846.666666666664
4,6,ext3,2,2,4096,4,512,15965.666666666664
4,6,ext3,2,2,4096,4,1024,15672.0
4,6,ext3,2,2,4096,8,256,15743.666666666664
4,6,ext3,2,2,4096,8,512,15775.0
4,6,ext3,2,2,4096,8,1024,15723.666666666664
4,6,ext3,2,2,4096,12,256,15749.0
4,6,ext3,2,2,4096,12,512,15861.333333333336
4,6,ext3,2,2,4096,12,1024,15623.0
4,6,ext3,2,2,4096,12,2048,15730.666666666664
4,6,ext3,2,2,4096,16,256,15825.0
4,6,ext3,2,2,4096,16,512,15689.333333333336
4,6,ext3,2,2,4096,16,1024,15659.666666666664
4,6,ext3,2,2,4096,32,128,15859.333333333336
4,6,ext3,2,2,4096,32,256,15719.666666666664
4,6,ext3,2,2,4096,32,512,15608.0
4,6,ext3,2,2,4096,32,1024,15816.0
4,6,ext3,2,3,2048,2,256,15830.333333333336
4,6,ext3,2,3,2048,2,512,15803.666666666664
4,6,ext3,2,3,2048,4,256,15809.666666666664
4,6,ext3,2,3,2048,4,512,15812.0
4,6,ext3,2,3,2048,8,256,15794.0
4,6,ext3,2,3,2048,8,512,15691.0
4,6,ext3,2,3,2048,12,256,15706.666666666664
4,6,ext3,2,3,2048,12,512,15615.666666666664
4,6,ext3,2,3,2048,16,128,15631.0
4,6,ext3,2,3,2048,16,256,15689.666666666664
4,6,ext3,2,3,2048,16,512,15702.666666666664
4,6,ext3,2,3,4096,2,256,15922.666666666664
4,6,ext3,2,3,4096,2,512,15989.333333333336
4,6,ext3,2,3,4096,2,1024,15905.333333333336
4,6,ext3,2,3,4096,4,256,15888.333333333336
4,6,ext3,2,3,4096,4,512,15891.0
4,6,ext3,2,3,4096,4,1024,15697.333333333336
4,6,ext3,2,3,4096,8,256,15727.666666666664
